SYMBOL,AVG,
20MICRONS,1.4499995,
21STCENMGM,0.13333352,
3IINFOTECH,0.11666664,
3MINDIA,1061.183,
3PLAND,0.4333334,
5PAISA,12.550003,
63MOONS,4.183332,
762GS2039,0.0,
A2ZINFRA,0.11666664,
AAKASH,0.5333333,
AARON,1.6999995,
AARTIDRUGS,23.483337,
AARTIIND,63.233337,
AARVEEDEN,0.7666664,
AAVAS,33.949993,
ABAN,18.616667,
ABB,16.316668,
ABBOTINDIA,117.683266,
ABCAPITAL,55.81679,
ABFRL,4.9333344,
ABSLBANETF,2.5333302,
ACC,10.390025,
ACCELYA,34.083355,
ACE,15.883319,
ADANIENT,4.316677,
ADANIGAS,1.9833323,
ADANIGREEN,20.08333,
ADANIPORTS,17.183334,
ADANIPOWER,2.2999966,
ADANITRANS,6.73333,
ADFFOODS,7.0833383,
ADHUNIKIND,3.0166676,
ADLABS,7.5666656,
ADORWELD,10.43333,
ADROITINFO,1.6666666,
ADSL,5.3166633,
ADVANIHOTR,7.2666664,
ADVENZYMES,2.0833323,
AEGISCHEM,1.9666659,
AFFLE,43.533344,
AGARIND,3.7333305,
AGCNET,2.133334,
AGRITECH,31.1,
AGROPHOS,3.7666676,
AHLEAST,8.766663,
AHLUCONT,27.450012,
AHLWEST,7.799998,
AIAENG,43.33331,
AIONJSW,3.166666,
AIRAN,3.600002,
AJANTPHARM,23.65,
AJMERA,22.81665,
AKASH,9.049998,
AKSHARCHEM,6.2666707,
AKSHOPTFBR,27.783333,
AKZOINDIA,63.866726,
ALANKIT,2.6500018,
ALBERTDAVD,18.433336,
ALBK,3.7833328,
ALCHEM,12.983333,
ALEMBICLTD,7.6166673,
ALICON,34.750027,
ALKALI,23.983343,
ALKEM,42.15003,
ALKYLAMINE,20.466673,
ALLCARGO,1.5499997,
ALLSEC,3.1999962,
ALMONDZ,12.583333,
ALOKTEXT,6.400004,
ALPA,13.966666,
ALPHAGEO,57.333344,
ALPSINDUS,12.883317,
AMARAJABAT,8.200002,
AMBER,42.05,
AMBIKCO,5.816671,
AMBUJACEM,3.0666676,
AMDIND,10.499999,
AMJLAND,0.53333384,
AMRUTANJAN,23.633331,
ANANTRAJ,68.40001,
ANDHRABANK,10.150016,
ANDHRACEMT,4.633333,
ANDHRSUGAR,6.8166623,
ANDPAPER,6.0833335,
ANIKINDS,10.316661,
ANKITMETAL,1.1500007,
ANSALAPI,0.5166669,
ANSALHSG,0.19999997,
ANTGRAPHIC,7.533339,
ANUP,27.49999,
APARINDS,2.5833375,
APCL,2.650001,
APCOTEXIND,1.9833312,
APEX,4.066671,
APLAPOLLO,10.866666,
APLLTD,19.916666,
APOLLO,9.116672,
APOLLOHOSP,15.06663,
APOLLOPIPE,11.0,
APOLLOTYRE,22.65,
APOLSINHOT,55.066692,
APTECHT,24.366663,
ARCHIDPLY,3.633335,
ARCHIES,24.250015,
ARCOTECH,11.550004,
ARIES,4.6666665,
ARIHANT,12.566658,
ARIHANTSUP,5.0499988,
ARMANFIN,7.4333377,
AROGRANITE,1.0500005,
ARROWGREEN,0.48333335,
ARROWTEX,0.21666686,
ARSHIYA,1.9333338,
ARSSINFRA,1.0666662,
ARTEMISMED,0.76666707,
ARVIND,22.799994,
ARVINDFASN,4.166668,
ARVSMART,2.4833324,
ASAHIINDIA,2.2666647,
ASAHISONG,2.5833352,
ASAL,0.93333435,
ASCOM,3.4500046,
ASHAPURMIN,1.9000015,
ASHIANA,8.700005,
ASHIMASYN,7.133335,
ASHOKA,7.0499954,
ASHOKLEY,10.033328,
ASIANHOTNR,2.7666657,
ASIANPAINT,8.066659,
ASIANTILES,4.2500014,
ASPINWALL,5.0833325,
ASTEC,6.2666626,
ASTERDM,4.3333306,
ASTRAL,25.749985,
ASTRAMICRO,11.633342,
ASTRAZEN,43.916668,
ASTRON,4.8999963,
ATFL,17.083334,
ATLANTA,12.133335,
ATLASCYCLE,9.266667,
ATUL,64.5166,
ATULAUTO,24.949984,
AUBANK,52.0,
AURIONPRO,12.666672,
AUROPHARMA,16.066668,
AUSOMENT,2.4333334,
AUTOAXLES,33.649963,
AUTOIND,36.899967,
AUTOLITIND,21.483324,
AVADHSUGAR,17.366676,
AVANTIFEED,20.950012,
AVG,3.799998,
AVROIND,14.566667,
AVTNPL,16.383337,
AXISBANK,5.200004,
AXISCADES,6.0999923,
AXISGOLD,24.016632,
AXISNIFTY,13.513326,
AYMSYNTEX,2.1666667,
BAGFILMS,3.7500122,
BAJAJ-AUTO,18.666662,
BAJAJCON,15.566667,
BAJAJELEC,23.593353,
BAJAJFINSV,100.45001,
BAJAJHIND,1.0500007,
BAJAJHLDNG,56.06667,
BAJFINANCE,154.24992,
BALAJITELE,5.183333,
BALAMINES,10.616669,
BALAXI,217.9168,
BALKRISHNA,0.33333302,
BALKRISIND,101.166664,
BALLARPUR,75.50007,
BALMLAWRIE,4.233332,
BALPHARMA,32.03333,
BALRAMCHIN,9.500003,
BANARBEADS,1.6000004,
BANARISUG,35.583332,
BANCOINDIA,0.6666661,
BANDHANBNK,8.3,
BANG,2.1833336,
BANKBARODA,4.866661,
BANKBEES,3.2166684,
BANKINDIA,52.23332,
BANSWRAS,4.149999,
BARTRONICS,9.950002,
BASF,9.616659,
BASML,4.5333304,
BATAINDIA,14.46667,
BAYERCROP,22.466667,
BBL,6.216665,
BBTC,14.016674,
BCG,5.483333,
BCP,9.800003,
BDL,21.516678,
BEARDSELL,27.716667,
BEDMUTHA,29.766638,
BEL,19.44999,
BEML,23.783304,
BEPL,1.1166674,
BERGEPAINT,5.3666587,
BETA,6.066667,
BFINVEST,6.9833293,
BFUTILITIE,6.999998,
BGLOBAL,3.0666664,
BGRENERGY,10.033322,
BHAGERIA,7.6999946,
BHAGYANGR,6.8333335,
BHAGYAPROP,6.183333,
BHANDARI,4.5499973,
BHARATFORG,11.800008,
BHARATGEAR,5.1999974,
BHARATRAS,79.28333,
BHARATWIRE,2.5166671,
BHARTIARTL,7.8499985,
BHEL,0.9500001,
BIGBLOC,1.2833333,
BIL,8.766665,
BILENERGY,7.066662,
BINDALAGRO,31.766602,
BIOCON,24.683332,
BIOFILCHEM,4.833331,
BIRLACABLE,5.6499953,
BIRLACORPN,14.650001,
BIRLAMONEY,2.6833317,
BKMINDST,3.4833345,
BLBLIMITED,0.50000006,
BLISSGVS,3.7666705,
BLKASHYAP,2.5166624,
BLS,1.983333,
BLUEBLENDS,17.99999,
BLUEDART,69.78333,
BLUESTARCO,18.933332,
BODALCHEM,0.6666661,
BOHRA,1.8833302,
BOMDYEING,3.1499987,
BOROSIL,2.9000027,
BOSCHLTD,74.566666,
BPCL,49.200016,
BPL,42.133343,
BRFL,7.9833426,
BRIGADE,4.8499985,
BRITANNIA,20.783316,
BRITANNIA,171.95667,
BRNL,9.433342,
BROOKS,182.88335,
BSE,9.400006,
BSELINFRA,7.1166654,
BSHSL,30.15,
BSL,3.5266647,
BSLGOLDETF,46.46665,
BSOFT,1.5466652,
BURNPUR,4.5666738,
BUTTERFLY,7.3833337,
BVCL,4.366658,
BYKE,29.816666,
CADILAHC,2.640002,
CADSYS,5.766668,
CALSOFT,37.05,
CAMLINFINE,12.563332,
CANBK,2.816665,
CANDC,3.0833333,
CANFINHOME,12.316666,
CANTABIL,4.5666714,
CAPACITE,3.9000008,
CAPLIPOINT,5.100002,
CAPTRUST,8.53333,
CARBORUNIV,7.533333,
CAREERP,4.566668,
CARERATING,9.550008,
CASTEXTECH,5.450001,
CASTROLIND,9.566666,
CCHHL,2.8166666,
CCL,13.866669,
CDSL,5.1333294,
CEATLTD,10.916667,
CEBBCO,1.9666649,
CELEBRITY,8.983337,
CELESTIAL,2.6166708,
CENTENKA,12.0,
CENTEXT,0.38333344,
CENTRALBK,5.249998,
CENTRUM,2.5166724,
CENTUM,17.916666,
CENTURYPLY,1.3999977,
CENTURYTEX,8.183337,
CERA,7.4,
CEREBRAINT,9.299988,
CESC,5.1833453,
CESCVENT,17.85002,
CGCL,20.01663,
CGPOWER,4.75,
CHALET,8.750005,
CHAMBLFERT,13.533325,
CHEMBOND,28.03335,
CHEMFAB,3.4333344,
CHENNPETRO,14.033345,
CHOLAFIN,13.250005,
CHOLAHLDNG,17.566666,
CHROMATIC,4.2666645,
